Date,Value,"Flag (0=obs 1=fcst 2=norm)"
2020-04-23,4.227,0
2020-04-24,4.647,0
2020-04-25,4.051,0
2020-04-26,3.336,0
2020-04-27,2.924,0
2020-04-28,3.882,0
2020-04-29,3.849,0
2020-04-30,3.022,0
2020-05-01,3.236,1
2020-05-02,4.601,1
2020-05-03,6.41,1
2020-05-04,7.037,1
2020-05-05,6.581,1
2020-05-06,5.546,1
2020-05-07,4.711,1
2020-05-08,4.31,1
2020-05-09,3.703,1
2020-05-10,2.948,1
2020-05-11,2.771,1
2020-05-12,3.305,1
2020-05-13,4.126,1
2020-05-14,4.772,1
2020-05-15,5.275,1
2020-05-16,6.222,2
2020-05-17,6.403,2
2020-05-18,6.586,2
2020-05-19,6.771,2
2020-05-20,6.958,2
2020-05-21,7.145,2
2020-05-22,7.334,2
