Date,Value,"Flag (0=obs 1=fcst 2=norm)"
2021-10-03,5.412,0
2021-10-04,5.224,0
2021-10-05,4.075,0
2021-10-06,4.346,0
2021-10-07,4.775,0
2021-10-08,4.522,0
2021-10-09,4.354,0
2021-10-10,4.791,1
2021-10-11,3.572,1
2021-10-12,3.424,1
2021-10-13,3.911,1
2021-10-14,4.151,1
2021-10-15,3.566,1
2021-10-16,1.791,1
2021-10-17,1.072,1
2021-10-18,0.968,1
2021-10-19,1.186,1
2021-10-20,1.352,1
2021-10-21,1.357,1
2021-10-22,1.431,1
2021-10-23,1.468,1
2021-10-24,1.601,1
2021-10-25,1.565,2
2021-10-26,1.48,2
2021-10-27,1.399,2
2021-10-28,1.32,2
2021-10-29,1.244,2
2021-10-30,1.172,2
2021-10-31,1.103,2
