Date,Value,"Flag (0=obs 1=fcst 2=norm)"
2022-07-06,13.1,0
2022-07-07,12.41,0
2022-07-08,12.777,0
2022-07-09,11.587,0
2022-07-10,10.658,0
2022-07-11,12.118,0
2022-07-12,13.235,0
2022-07-13,12.697,1
2022-07-14,12.603,1
2022-07-15,12.505,1
2022-07-16,13.591,1
2022-07-17,13.818,1
2022-07-18,14.571,1
2022-07-19,15.139,1
2022-07-20,16.055,1
2022-07-21,14.476,1
2022-07-22,13.075,1
2022-07-23,13.487,1
2022-07-24,14.646,1
2022-07-25,15.258,1
2022-07-26,12.512,1
2022-07-27,11.225,1
2022-07-28,11.921,2
2022-07-29,11.866,2
2022-07-30,11.812,2
2022-07-31,11.759,2
2022-08-01,11.706,2
2022-08-02,11.656,2
2022-08-03,11.607,2
