Date,Value,"Flag (0=obs 1=fcst 2=norm)"
2023-04-13,2.155,0
2023-04-14,2.968,0
2023-04-15,2.977,0
2023-04-16,1.496,0
2023-04-17,0.68,0
2023-04-18,0.97,0
2023-04-19,1.953,0
2023-04-20,2.438,1
2023-04-21,2.135,1
2023-04-22,1.385,1
2023-04-23,1.189,1
2023-04-24,0.986,1
2023-04-25,1.422,1
2023-04-26,1.729,1
2023-04-27,1.486,1
2023-04-28,1.558,1
2023-04-29,1.368,1
2023-04-30,1.299,1
2023-05-01,2.003,1
2023-05-02,2.369,1
2023-05-03,2.755,1
2023-05-04,2.972,1
2023-05-05,2.732,1
2023-05-06,2.816,2
2023-05-07,2.931,2
2023-05-08,3.051,2
2023-05-09,3.177,2
2023-05-10,3.308,2
2023-05-11,3.443,2
2023-05-12,3.583,2
