Date,Value,"Flag (0=obs 1=fcst 2=norm)"
2019-09-19,6.411,0
2019-09-20,6.747,0
2019-09-21,8.227,0
2019-09-22,8.557,0
2019-09-23,8.285,0
2019-09-24,6.588,0
2019-09-25,7.458,0
2019-09-26,7.004,0
2019-09-27,6.442,1
2019-09-28,6.956,1
2019-09-29,6.629,1
2019-09-30,7.43,1
2019-10-01,7.711,1
2019-10-02,8.699,1
2019-10-03,6.691,1
2019-10-04,4.143,1
2019-10-05,3.592,1
2019-10-06,3.916,1
2019-10-07,2.988,1
2019-10-08,2.003,1
2019-10-09,1.834,1
2019-10-10,1.696,1
2019-10-11,1.985,1
2019-10-12,2.605,2
2019-10-13,2.496,2
2019-10-14,2.39,2
2019-10-15,2.288,2
2019-10-16,2.189,2
2019-10-17,2.093,2
2019-10-18,2.001,2
