Date,Value,"Flag (0=obs 1=fcst 2=norm)"
2021-03-19,0.211,0
2021-03-20,0.125,0
2021-03-21,0.056,0
2021-03-22,0.106,0
2021-03-23,0.444,0
2021-03-24,0.511,0
2021-03-25,1.19,0
2021-03-26,1.497,1
2021-03-27,1.888,1
2021-03-28,1.11,1
2021-03-29,0.672,1
2021-03-30,0.843,1
2021-03-31,0.975,1
2021-04-01,0.602,1
2021-04-02,0.349,1
2021-04-03,0.386,1
2021-04-04,0.558,1
2021-04-05,0.843,1
2021-04-06,1.246,1
2021-04-07,1.698,1
2021-04-08,1.893,1
2021-04-09,1.715,1
2021-04-10,1.752,1
2021-04-11,1.541,2
2021-04-12,1.562,2
2021-04-13,1.582,2
2021-04-14,1.601,2
2021-04-15,1.619,2
2021-04-16,1.637,2
2021-04-17,1.655,2
