Date,Value,"Flag (0=obs 1=fcst 2=norm)"
2019-03-28,0.359,0
2019-03-29,0.588,0
2019-03-30,0.466,0
2019-03-31,0.422,0
2019-04-01,0.335,0
2019-04-02,0.39,0
2019-04-03,0.38,0
2019-04-04,0.957,1
2019-04-05,1.27,1
2019-04-06,1.696,1
2019-04-07,2.466,1
2019-04-08,2.211,1
2019-04-09,1.857,1
2019-04-10,1.488,1
2019-04-11,1.192,1
2019-04-12,0.86,1
2019-04-13,0.674,1
2019-04-14,1.021,1
2019-04-15,1.759,1
2019-04-16,2.009,1
2019-04-17,2.189,1
2019-04-18,1.981,1
2019-04-19,1.722,1
2019-04-20,1.75,2
2019-04-21,1.793,2
2019-04-22,1.839,2
2019-04-23,1.886,2
2019-04-24,1.937,2
2019-04-25,1.99,2
2019-04-26,2.046,2
