Date,Value,"Flag (0=obs 1=fcst 2=norm)"
2022-01-17,0.001,0
2022-01-18,0,0
2022-01-19,0.113,0
2022-01-20,0.115,0
2022-01-21,0.233,0
2022-01-22,0.07,0
2022-01-23,0,0
2022-01-24,0,0
2022-01-25,0.002,1
2022-01-26,0.097,1
2022-01-27,0.119,1
2022-01-28,0.082,1
2022-01-29,0,1
2022-01-30,0.001,1
2022-01-31,0.011,1
2022-02-01,0.095,1
2022-02-02,0.286,1
2022-02-03,0.418,1
2022-02-04,0.386,1
2022-02-05,0.356,1
2022-02-06,0.235,1
2022-02-07,0.223,1
2022-02-08,0.304,1
2022-02-09,0.287,2
2022-02-10,0.307,2
2022-02-11,0.327,2
2022-02-12,0.348,2
2022-02-13,0.368,2
2022-02-14,0.387,2
2022-02-15,0.406,2
