Date,Value,"Flag (0=obs 1=fcst 2=norm)"
2021-10-17,0.851,0
2021-10-18,0.746,0
2021-10-19,1.155,0
2021-10-20,1.804,0
2021-10-21,2.159,0
2021-10-22,1.983,0
2021-10-23,2.155,0
2021-10-24,2.427,0
2021-10-25,2.508,1
2021-10-26,1.925,1
2021-10-27,1.157,1
2021-10-28,0.955,1
2021-10-29,0.603,1
2021-10-30,0.534,1
2021-10-31,0.648,1
2021-11-01,0.695,1
2021-11-02,0.803,1
2021-11-03,0.846,1
2021-11-04,0.83,1
2021-11-05,0.758,1
2021-11-06,0.688,1
2021-11-07,0.583,1
2021-11-08,0.516,1
2021-11-09,0.656,2
2021-11-10,0.625,2
2021-11-11,0.599,2
2021-11-12,0.576,2
2021-11-13,0.556,2
2021-11-14,0.539,2
2021-11-15,0.524,2
