Date,Value,"Flag (0=obs 1=fcst 2=norm)"
2019-04-04,1.097,0
2019-04-05,1.107,0
2019-04-06,1.404,0
2019-04-07,1.681,0
2019-04-08,2.436,0
2019-04-09,2.162,0
2019-04-10,1.944,0
2019-04-11,1.64,1
2019-04-12,1.646,1
2019-04-13,1.94,1
2019-04-14,1.327,1
2019-04-15,0.757,1
2019-04-16,0.794,1
2019-04-17,1.707,1
2019-04-18,1.566,1
2019-04-19,1.095,1
2019-04-20,0.618,1
2019-04-21,1.148,1
2019-04-22,1.279,1
2019-04-23,1.749,1
2019-04-24,2.633,1
2019-04-25,2.413,1
2019-04-26,2.046,2
2019-04-27,2.105,2
2019-04-28,2.168,2
2019-04-29,2.235,2
2019-04-30,2.306,2
2019-05-01,2.381,2
2019-05-02,2.46,2
