Date,Value,"Flag (0=obs 1=fcst 2=norm)"
2023-04-12,1.996,0
2023-04-13,2.155,0
2023-04-14,2.968,0
2023-04-15,2.977,0
2023-04-16,1.496,0
2023-04-17,0.68,0
2023-04-18,0.902,0
2023-04-19,2.066,1
2023-04-20,2.363,1
2023-04-21,2.357,1
2023-04-22,1.573,1
2023-04-23,1.273,1
2023-04-24,1.29,1
2023-04-25,1.679,1
2023-04-26,1.975,1
2023-04-27,2.3,1
2023-04-28,2.382,1
2023-04-29,2.295,1
2023-04-30,2.082,1
2023-05-01,1.916,1
2023-05-02,2.147,1
2023-05-03,2.834,1
2023-05-04,2.604,2
2023-05-05,2.707,2
2023-05-06,2.816,2
2023-05-07,2.931,2
2023-05-08,3.051,2
2023-05-09,3.177,2
2023-05-10,3.308,2
