Date,Value,"Flag (0=obs 1=fcst 2=norm)"
2022-04-02,16.344,0
2022-04-03,15.379,0
2022-04-04,14.689,0
2022-04-05,12.791,0
2022-04-06,11.383,0
2022-04-07,13.662,0
2022-04-08,15.101,0
2022-04-09,16.083,0
2022-04-10,14.269,1
2022-04-11,11.87,1
2022-04-12,10.173,1
2022-04-13,9.918,1
2022-04-14,12.442,1
2022-04-15,13.965,1
2022-04-16,13.913,1
2022-04-17,14.318,1
2022-04-18,15.155,1
2022-04-19,15.588,1
2022-04-20,15.37,1
2022-04-21,14.216,1
2022-04-22,12.469,1
2022-04-23,10.638,1
2022-04-24,9.072,1
2022-04-25,8.922,2
2022-04-26,8.676,2
2022-04-27,8.434,2
2022-04-28,8.194,2
2022-04-29,7.958,2
2022-04-30,7.725,2
2022-05-01,7.495,2
