Date,Value,"Flag (0=obs 1=fcst 2=norm)"
2023-01-04,0.807,0
2023-01-05,0.527,0
2023-01-06,0.114,0
2023-01-07,0.338,0
2023-01-08,0.147,0
2023-01-09,0.187,0
2023-01-10,0.209,0
2023-01-11,0.399,0
2023-01-12,0.198,1
2023-01-13,0.05,1
2023-01-14,0,1
2023-01-15,0.003,1
2023-01-16,0.192,1
2023-01-17,0.376,1
2023-01-18,0.526,1
2023-01-19,0.567,1
2023-01-20,0.618,1
2023-01-21,0.458,1
2023-01-22,0.269,1
2023-01-23,0.258,1
2023-01-24,0.339,1
2023-01-25,0.351,1
2023-01-26,0.331,1
2023-01-27,0.179,2
2023-01-28,0.184,2
2023-01-29,0.191,2
2023-01-30,0.2,2
2023-01-31,0.212,2
2023-02-01,0.225,2
2023-02-02,0.241,2
