Date,Value,"Flag (0=obs 1=fcst 2=norm)"
2021-12-31,2.661,0
2022-01-01,3.376,0
2022-01-02,1.772,0
2022-01-03,0.221,0
2022-01-04,0.126,0
2022-01-05,0.541,0
2022-01-06,0.351,0
2022-01-07,0.583,1
2022-01-08,0.648,1
2022-01-09,1.099,1
2022-01-10,0.892,1
2022-01-11,0.212,1
2022-01-12,0.129,1
2022-01-13,0.223,1
2022-01-14,0.327,1
2022-01-15,0.428,1
2022-01-16,0.413,1
2022-01-17,0.288,1
2022-01-18,0.339,1
2022-01-19,0.44,1
2022-01-20,0.467,1
2022-01-21,0.504,1
2022-01-22,0.367,2
2022-01-23,0.365,2
2022-01-24,0.367,2
2022-01-25,0.372,2
2022-01-26,0.38,2
2022-01-27,0.391,2
2022-01-28,0.406,2
