Date,Value,"Flag (0=obs 1=fcst 2=norm)"
2020-11-14,17.976,0
2020-11-15,15.403,0
2020-11-16,16.792,0
2020-11-17,19.337,0
2020-11-18,19.999,0
2020-11-19,14.974,0
2020-11-20,13.736,0
2020-11-21,16.093,0
2020-11-22,17.37,1
2020-11-23,19.286,1
2020-11-24,20.047,1
2020-11-25,17.255,1
2020-11-26,16.946,1
2020-11-27,17.461,1
2020-11-28,18.646,1
2020-11-29,20.176,1
2020-11-30,22.864,1
2020-12-01,24.607,1
2020-12-02,23.277,1
2020-12-03,21.572,1
2020-12-04,20.551,1
2020-12-05,20.514,1
2020-12-06,21.739,1
2020-12-07,24.217,2
2020-12-08,24.44,2
2020-12-09,24.667,2
2020-12-10,24.898,2
2020-12-11,25.131,2
2020-12-12,25.368,2
2020-12-13,25.607,2
