Date,Value,"Flag (0=obs 1=fcst 2=norm)"
2019-02-06,1.712,0
2019-02-07,1.607,0
2019-02-08,0.863,0
2019-02-09,0.856,0
2019-02-10,0.958,0
2019-02-11,1.425,0
2019-02-12,1.288,0
2019-02-13,0.152,1
2019-02-14,0.197,1
2019-02-15,0.731,1
2019-02-16,0.988,1
2019-02-17,1.47,1
2019-02-18,1.795,1
2019-02-19,1.786,1
2019-02-20,1.855,1
2019-02-21,1.758,1
2019-02-22,1.701,1
2019-02-23,1.659,1
2019-02-24,1.509,1
2019-02-25,1.248,1
2019-02-26,1.178,1
2019-02-27,1.049,1
2019-02-28,0.943,2
2019-03-01,0.969,2
2019-03-02,0.983,2
2019-03-03,0.998,2
2019-03-04,1.014,2
2019-03-05,1.03,2
2019-03-06,1.047,2
