Date,Value,"Flag (0=obs 1=fcst 2=norm)"
2021-05-17,4.392,0
2021-05-18,5.016,0
2021-05-19,6.078,0
2021-05-20,6.907,0
2021-05-21,6.699,0
2021-05-22,7.256,0
2021-05-23,8.012,0
2021-05-24,7.846,0
2021-05-25,9.09,1
2021-05-26,10.169,1
2021-05-27,9.823,1
2021-05-28,8.235,1
2021-05-29,5.956,1
2021-05-30,5.316,1
2021-05-31,6.026,1
2021-06-01,7.219,1
2021-06-02,7.96,1
2021-06-03,8.488,1
2021-06-04,9.139,1
2021-06-05,9.966,1
2021-06-06,10.505,1
2021-06-07,10.647,1
2021-06-08,10.164,2
2021-06-09,10.311,2
2021-06-10,10.458,2
2021-06-11,10.603,2
2021-06-12,10.748,2
2021-06-13,10.892,2
2021-06-14,11.036,2
