Date,Value,"Flag (0=obs 1=fcst 2=norm)"
2019-07-23,10.975,0
2019-07-24,10.519,0
2019-07-25,10.879,0
2019-07-26,12.238,0
2019-07-27,13.225,0
2019-07-28,14.443,0
2019-07-29,14.4,0
2019-07-30,14.008,1
2019-07-31,13.76,1
2019-08-01,13.636,1
2019-08-02,12.912,1
2019-08-03,12.881,1
2019-08-04,13.131,1
2019-08-05,12.812,1
2019-08-06,12.734,1
2019-08-07,12.86,1
2019-08-08,12.872,1
2019-08-09,12.809,1
2019-08-10,12.869,1
2019-08-11,13.076,1
2019-08-12,13.338,1
2019-08-13,13.422,1
2019-08-14,13.382,2
2019-08-15,13.309,2
2019-08-16,13.232,2
2019-08-17,13.152,2
2019-08-18,13.067,2
2019-08-19,12.978,2
2019-08-20,12.886,2
