Date,Value,"Flag (0=obs 1=fcst 2=norm)"
2022-02-03,0.467,0
2022-02-04,0.5,0
2022-02-05,0.164,0
2022-02-06,0.167,0
2022-02-07,0.14,0
2022-02-08,0.117,0
2022-02-09,0.021,0
2022-02-10,0.028,1
2022-02-11,0.114,1
2022-02-12,0.197,1
2022-02-13,0.013,1
2022-02-14,0.002,1
2022-02-15,0.017,1
2022-02-16,0.137,1
2022-02-17,0.405,1
2022-02-18,0.494,1
2022-02-19,0.234,1
2022-02-20,0.21,1
2022-02-21,0.243,1
2022-02-22,0.176,1
2022-02-23,0.437,1
2022-02-24,0.713,1
2022-02-25,0.528,2
2022-02-26,0.533,2
2022-02-27,0.536,2
2022-02-28,0.538,2
2022-03-01,0.541,2
2022-03-02,0.541,2
2022-03-03,0.542,2
