Date,Value,"Flag (0=obs 1=fcst 2=norm)"
2021-03-20,0.125,0
2021-03-21,0.056,0
2021-03-22,0.106,0
2021-03-23,0.444,0
2021-03-24,0.511,0
2021-03-25,1.19,0
2021-03-26,1.485,0
2021-03-27,1.903,0
2021-03-28,0.872,1
2021-03-29,0.583,1
2021-03-30,0.885,1
2021-03-31,0.888,1
2021-04-01,0.389,1
2021-04-02,0.228,1
2021-04-03,0.346,1
2021-04-04,0.625,1
2021-04-05,1.019,1
2021-04-06,1.439,1
2021-04-07,1.713,1
2021-04-08,1.815,1
2021-04-09,1.71,1
2021-04-10,1.629,1
2021-04-11,1.516,1
2021-04-12,1.562,2
2021-04-13,1.582,2
2021-04-14,1.601,2
2021-04-15,1.619,2
2021-04-16,1.637,2
2021-04-17,1.655,2
2021-04-18,1.674,2
