Date,Value,"Flag (0=obs 1=fcst 2=norm)"
2021-05-17,4.392,0
2021-05-18,5.016,0
2021-05-19,6.078,0
2021-05-20,6.907,0
2021-05-21,6.699,0
2021-05-22,7.256,0
2021-05-23,8.012,0
2021-05-24,7.846,0
2021-05-25,8.79,1
2021-05-26,9.69,1
2021-05-27,9.339,1
2021-05-28,8.554,1
2021-05-29,7.26,1
2021-05-30,6.543,1
2021-05-31,7.179,1
2021-06-01,8.634,1
2021-06-02,9.543,1
2021-06-03,10.126,1
2021-06-04,10.457,1
2021-06-05,11.114,1
2021-06-06,11.645,1
2021-06-07,11.846,1
2021-06-08,12.018,1
2021-06-09,10.311,2
2021-06-10,10.458,2
2021-06-11,10.603,2
2021-06-12,10.748,2
2021-06-13,10.892,2
2021-06-14,11.036,2
2021-06-15,11.18,2
