Date,Value,"Flag (0=obs 1=fcst 2=norm)"
2018-09-06,0.456,0
2018-09-07,0.47,0
2018-09-08,1.128,0
2018-09-09,2.63,0
2018-09-10,1.753,0
2018-09-11,0.404,0
2018-09-12,0.459,0
2018-09-13,0.636,1
2018-09-14,0.589,1
2018-09-15,0.57,1
2018-09-16,0.635,1
2018-09-17,0.709,1
2018-09-18,0.943,1
2018-09-19,1.712,1
2018-09-20,2.337,1
2018-09-21,2.888,1
2018-09-22,4.643,1
2018-09-23,4.269,1
2018-09-24,3.488,1
2018-09-25,2.846,1
2018-09-26,2.797,1
2018-09-27,3.74,1
2018-09-28,3.802,1
2018-09-29,3.879,2
2018-09-30,4.097,2
2018-10-01,4.318,2
2018-10-02,4.543,2
2018-10-03,4.772,2
2018-10-04,5.004,2
2018-10-05,5.238,2
