Date,Value,"Flag (0=obs 1=fcst 2=norm)"
2022-11-19,30.098,0
2022-11-20,30.26,0
2022-11-21,26.25,0
2022-11-22,22.338,0
2022-11-23,19.564,0
2022-11-24,18.461,0
2022-11-25,18.277,0
2022-11-26,18.287,0
2022-11-27,18.639,1
2022-11-28,20.843,1
2022-11-29,20.551,1
2022-11-30,22.457,1
2022-12-01,28.245,1
2022-12-02,23.409,1
2022-12-03,18.354,1
2022-12-04,15.802,1
2022-12-05,16.989,1
2022-12-06,23.512,2
2022-12-07,23.706,2
2022-12-08,23.903,2
2022-12-09,24.104,2
2022-12-10,24.308,2
2022-12-11,24.515,2
2022-12-12,24.726,2
